-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.801, 80.200, 0.018,  0.148
-183.801, 80.199, 0.017,  0.181
-183.801, 80.199, 0.019,  0.214
-183.800, 80.198, 0.034,  0.247
-183.799, 80.196, 0.045,  0.280
-183.798, 80.192, 0.133,  0.313
-183.795, 80.185, 0.238,  0.346
-183.788, 80.174, 0.338,  0.379
-183.779, 80.161, 0.403,  0.412
-183.768, 80.145, 0.487,  0.445
-183.754, 80.126, 0.591,  0.478
-183.738, 80.104, 0.692,  0.511
-183.719, 80.077, 0.870,  0.544
-183.699, 80.043, 1.059,  0.577
-183.677, 80.005, 1.219,  0.610
-183.655, 79.962, 1.379,  0.643
-183.632, 79.913, 1.539,  0.676
-183.608, 79.860, 1.686,  0.709
-183.585, 79.803, 1.812,  0.742
-183.561, 79.744, 1.890,  0.775
-183.537, 79.683, 1.930,  0.808
-183.513, 79.622, 1.944,  0.841
-183.490, 79.562, 1.937,  0.874
-183.467, 79.502, 1.916,  0.907
-183.444, 79.443, 1.885,  0.940
-183.421, 79.386, 1.846,  0.973
-183.399, 79.330, 1.801,  1.006
-183.377, 79.275, 1.753,  1.039
-183.356, 79.223, 1.679,  1.072
-183.335, 79.173, 1.617,  1.105
-183.315, 79.125, 1.566,  1.138
-183.294, 79.078, 1.528,  1.171
-183.274, 79.031, 1.505,  1.204
-183.253, 78.985, 1.504,  1.237
-183.233, 78.938, 1.526,  1.270
-183.211, 78.890, 1.567,  1.303
-183.190, 78.840, 1.619,  1.336
-183.168, 78.788, 1.673,  1.369
-183.145, 78.734, 1.735,  1.402
-183.123, 78.679, 1.802,  1.435
-183.099, 78.621, 1.864,  1.468
-183.076, 78.561, 1.902,  1.501
-183.054, 78.501, 1.917,  1.534
-183.031, 78.442, 1.911,  1.567
-183.009, 78.383, 1.891,  1.600
-182.988, 78.324, 1.861,  1.633
-182.967, 78.267, 1.823,  1.666
-182.946, 78.212, 1.760,  1.699
-182.926, 78.159, 1.709,  1.732
